Gene name	BGC ID	BGC product	Domain name	E-value	Bitscore	Start	End
WP_334347656.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Caulobacter]	N\A	N\A	Lasso_Fused_RRE	3.7e-10	36.3	1	65
WP_184015816.1 lasso peptide biosynthesis B2 protein [Sphingobium boeckii]	N\A	N\A	Lasso_Fused_RRE	9.6e-10	35.0	2	61
HVJ02999.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	2e-14	50.0	1	70
WP_207931454.1 lasso peptide biosynthesis B2 protein [Brevundimonas goettingensis]	N\A	N\A	Lasso_Fused_RRE	4.2000000000000006e-08	29.8	6	64
KSB91754.1 hypothetical protein AS593_06950 [Caulobacter vibrioides]	N\A	N\A	Lasso_Fused_RRE	2.1000000000000004e-18	62.8	1	70
WP_375195595.1 lasso peptide biosynthesis B2 protein [Sphingobium sp.]	N\A	N\A	Lasso_Fused_RRE	1.2e-08	31.5	1	61
WP_129927692.1 hypothetical protein [Sphingobium cupriresistens]	N\A	N\A	Lasso_Fused_RRE	5.4e-24	80.7	1	68
WP_242128520.1 lasso peptide biosynthesis B2 protein [Sphingobium sp. Sx8-8]	N\A	N\A	Lasso_Fused_RRE	1.8000000000000002e-13	47.0	1	66
WP_292134334.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.2e-10	37.9	5	69
WP_117351260.1 lasso peptide biosynthesis B2 protein [Blastomonas fulva]	N\A	N\A	Lasso_Fused_RRE	8.4e-12	41.6	1	63
WP_346504969.1 lasso peptide biosynthesis B2 protein [Brevundimonas pondensis]	N\A	N\A	Lasso_Fused_RRE	1.9e-09	34.1	9	66
WP_064998065.1 lasso peptide biosynthesis B2 protein [Mycolicibacter nonchromogenicus]	N\A	N\A	Stand_Alone_Lasso_RRE	1.4e-08	31.2	1	66
WP_291836962.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	4.3000000000000005e-09	32.9	5	68
WP_082657244.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp. A083]	N\A	N\A	Lasso_Fused_RRE	1.8000000000000002e-08	31.0	1	68
HTU43602.1 lasso peptide biosynthesis B2 protein [Bryobacteraceae bacterium]	N\A	N\A	Stand_Alone_Lasso_RRE	2.4e-09	33.7	2	60
WP_182914058.1 lasso peptide biosynthesis B2 protein [Sphingobium terrigena]	N\A	N\A	Lasso_Fused_RRE	3.6000000000000005e-08	30.0	2	55
WP_052071776.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp. MWB1]	N\A	N\A	Lasso_Fused_RRE	1.9e-15	53.3	1	63
WP_421932374.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	3.8e-09	33.1	1	63
WP_158258103.1 lasso peptide biosynthesis B2 protein [Sphingopyxis lindanitolerans]	N\A	N\A	Lasso_Fused_RRE	8.300000000000001e-10	35.2	4	57
MEZ0243743.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.4e-08	31.3	1	58
ODU35108.1 MAG: hypothetical protein ABS88_01405 [Sphingopyxis sp. SCN 67-31]	N\A	N\A	Lasso_Fused_RRE	5.2000000000000007e-17	58.3	1	67
WP_069049304.1 lasso peptide biosynthesis B2 protein [Blastomonas sp. RAC04]	N\A	N\A	Lasso_Fused_RRE	7.099999999999999e-12	41.8	1	63
WP_343699615.1 lasso peptide biosynthesis B2 protein [Caulobacter sp.]	N\A	N\A	Lasso_Fused_RRE	1.9e-09	34.1	1	66
WP_135209722.1 lasso peptide biosynthesis B2 protein [Vitreimonas flagellata]	N\A	N\A	Lasso_Fused_RRE	5.4000000000000003e-14	48.6	4	72
WP_339589074.1 lasso peptide biosynthesis B2 protein [Novosphingobium anseongense]	N\A	N\A	Lasso_Fused_RRE	5.7e-10	35.7	1	62
WP_165757826.1 lasso peptide biosynthesis B2 protein [Mycolicibacter engbaekii]	N\A	N\A	Stand_Alone_Lasso_RRE	4.8e-09	32.7	2	65
MFN3668447.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	7.299999999999999e-11	38.6	1	60
WP_058818190.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingopyxis]	N\A	N\A	Lasso_Fused_RRE	7.400000000000001e-13	45.0	2	64
HET9399013.1 lasso peptide biosynthesis B2 protein [Sphingomicrobium sp.]	N\A	N\A	Lasso_Fused_RRE	3.3e-13	46.1	3	65
WP_317225060.1 lasso peptide biosynthesis B2 protein [Sphingomonas agrestis]	N\A	N\A	Lasso_Fused_RRE	6.3e-08	29.2	3	57
WP_267432943.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. GM_Shp_1]	N\A	N\A	Lasso_Fused_RRE	5.3e-07	26.2	1	52
WP_254295378.1 lasso peptide biosynthesis B2 protein [Sphingomonas tagetis]	N\A	N\A	Lasso_Fused_RRE	9.5e-11	38.2	2	67
WP_121482777.1 lasso peptide biosynthesis B2 protein [Brevundimonas naejangsanensis]	N\A	N\A	Lasso_Fused_RRE	8.699999999999998e-11	38.4	4	63
WP_341018738.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	1.1e-07	28.5	3	67
MBX9615926.1 lasso peptide biosynthesis B2 protein [Caulobacteraceae bacterium]	N\A	N\A	Lasso_Fused_RRE	2.2999999999999998e-11	40.2	1	64
WP_062098567.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Caulobacter]	N\A	N\A	Lasso_Fused_RRE	2.4e-08	30.5	3	64
WP_370526595.1 lasso peptide biosynthesis B2 protein [Caulobacter sp. RHG1]	N\A	N\A	Lasso_Fused_RRE	8.8e-07	25.5	3	66
WP_374276057.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.4e-10	37.7	12	73
WP_402150410.1 lasso peptide biosynthesis B2 protein [Streptomyces murinus]	N\A	N\A	Stand_Alone_Lasso_RRE	2.7e-07	27.1	5	85
MBX9746649.1 lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	1.8000000000000002e-08	30.9	10	68
WP_374660638.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000001e-08	31.6	2	57
WP_431563779.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	7.7e-10	35.3	1	60
WP_329638785.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	1e-11	41.3	1	62
WP_268249530.1 lasso peptide biosynthesis B2 protein [Sphingomonas glacialis]	N\A	N\A	Lasso_Fused_RRE	1.2e-09	34.7	2	55
WP_325027764.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	4.2999999999999996e-07	26.5	1	64
WP_029416643.1 lasso peptide biosynthesis B2 protein [Brevundimonas bacteroides]	N\A	N\A	Lasso_Fused_RRE	2.2000000000000002e-10	37.1	1	67
MFH1518739.1 lasso peptide biosynthesis protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	4e-10	36.2	16	83
WP_209119344.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. A19_0]	N\A	N\A	Lasso_Fused_RRE	2.2999999999999998e-10	37.0	1	65
WP_046766257.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingobium]	N\A	N\A	Lasso_Fused_RRE	6.7e-12	41.9	1	66
MBC6417778.1 lasso peptide biosynthesis B2 protein [Prochloron sp. SP5CPC1]	N\A	N\A	Stand_Alone_Lasso_RRE	1.9e-15	53.2	1	65
WP_122464970.1 lasso peptide biosynthesis B2 protein [Brevundimonas lutea]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000001e-10	38.0	1	64
WP_293388496.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp. RIFCSPHIGHO2_01_FULL_69_31]	N\A	N\A	Lasso_Fused_RRE	1e-06	25.3	8	66
WP_277784847.1 lasso peptide biosynthesis B2 protein [Caulobacter segnis]	N\A	N\A	Lasso_Fused_RRE	6.699999999999999e-07	25.9	4	67
WP_292116924.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	3.7e-07	26.7	3	63
WP_312204681.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	4.4e-11	39.3	7	71
WP_327452846.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	1.6000000000000002e-10	37.5	3	63
WP_431866276.1 lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.]	N\A	N\A	Lasso_Fused_RRE	2.9e-13	46.3	2	56
WP_354309056.1 lasso peptide biosynthesis B2 protein [Sphingomonas trueperi]	N\A	N\A	Lasso_Fused_RRE	1.9e-10	37.3	4	64
WP_219506043.1 lasso peptide biosynthesis B2 protein [Roseobacter insulae]	N\A	N\A	Lasso_Fused_RRE	2.2000000000000002e-10	37.1	2	63
HVI97497.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.7e-10	37.5	3	59
WP_348974962.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. KR3-1]	N\A	N\A	Lasso_Fused_RRE	4.3e-14	48.9	1	66
WP_431562194.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	1.4e-15	53.7	1	63
WEA85824.1 sphingocin lasso peptide maturation protease [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	3.2999999999999996e-11	39.7	12	80
WP_077145342.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingomonadaceae]	N\A	N\A	Lasso_Fused_RRE	5.4e-11	39.0	6	56
WP_181771404.1 lasso peptide biosynthesis B2 protein [Amycolatopsis pittospori]	N\A	N\A	Stand_Alone_Lasso_RRE	1.1e-06	25.1	1	64
WP_295237134.1 lasso peptide biosynthesis B2 protein [uncultured Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.2e-07	28.4	3	63
MBH1999689.1 lasso peptide biosynthesis B2 protein [Sphingomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	5.6e-09	32.6	1	65
HEX5262312.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	9.5e-07	25.4	5	67
WP_277792965.1 lasso peptide biosynthesis B2 protein [Caulobacter endophyticus]	N\A	N\A	Lasso_Fused_RRE	3.9e-08	29.9	3	67
WP_061780816.1 lasso peptide biosynthesis B2 protein [Sphingomonas sanguinis]	N\A	N\A	Lasso_Fused_RRE	1.7e-10	37.4	1	67
WP_432769045.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	2.4e-09	33.8	4	64
WP_172342863.1 lasso peptide biosynthesis B2 protein [Novosphingobium sp. SG751A]	N\A	N\A	Lasso_Fused_RRE	1e-06	25.3	3	55
WP_246842005.1 lasso peptide biosynthesis B2 protein [Caulobacter sp. FWC26]	N\A	N\A	Lasso_Fused_RRE	1.3e-06	25.0	4	58
WP_150293281.1 lasso peptide biosynthesis B2 protein [Sphingobium estronivorans]	N\A	N\A	Lasso_Fused_RRE	1.3000000000000001e-12	44.2	1	66
WP_249751019.1 lasso peptide biosynthesis B2 protein [Brevundimonas albigilva]	N\A	N\A	Lasso_Fused_RRE	1.2e-07	28.3	1	64
MES2338759.1 lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	5.7999999999999997e-08	29.3	2	58
WP_023341728.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Klebsiella pneumoniae complex]	N\A	N\A	Lasso_Fused_RRE	2.1e-12	43.5	1	56
WP_297559469.1 lasso peptide biosynthesis B2 protein [Nitratireductor sp.]	N\A	N\A	Lasso_Fused_RRE	6.900000000000001e-08	29.1	1	65
WP_400613716.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. NPDC092305]	N\A	N\A	Lasso_Fused_RRE	1.8000000000000002e-08	30.9	5	68
