Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],54.3,54.3,63%,4e-05,33.06,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MES2326209.1?report=genbank&log$=prottop&blast_rank=85&RID=AVF030C7015"",""MES2326209.1"")"
1 member(s) 1 organism(s),bacteria,hypothetical protein tb265_15930 [Gemmatimonadetes bacterium T265],53.1,53.1,32%,4e-05,41.67,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GJG86412.1?report=genbank&log$=prottop&blast_rank=86&RID=AVF030C7015"",""GJG86412.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis sp.],54.3,54.3,56%,4e-05,34.23,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_440179236.1?report=genbank&log$=prottop&blast_rank=87&RID=AVF030C7015"",""WP_440179236.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [uncultured Sphingomonas sp.],54.3,54.3,39%,4e-05,35.14,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_339348620.1?report=genbank&log$=prottop&blast_rank=88&RID=AVF030C7015"",""WP_339348620.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. SORGH_AS_0789],54.3,54.3,48%,4e-05,32.22,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_405052646.1?report=genbank&log$=prottop&blast_rank=89&RID=AVF030C7015"",""WP_405052646.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Holosporales bacterium],54.3,54.3,38%,4e-05,36.11,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGL6188240.1?report=genbank&log$=prottop&blast_rank=90&RID=AVF030C7015"",""MGL6188240.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium aquiterrae],52.4,52.4,62%,4e-05,33.05,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_419722944.1?report=genbank&log$=prottop&blast_rank=91&RID=AVF030C7015"",""WP_419722944.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],52.4,52.4,60%,5e-05,32.74,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGD0428182.1?report=genbank&log$=prottop&blast_rank=92&RID=AVF030C7015"",""MGD0428182.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein [Sphingomonas sp. SORGH_AS_0789],54.7,54.7,48%,5e-05,32.22,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDR6116619.1?report=genbank&log$=prottop&blast_rank=93&RID=AVF030C7015"",""MDR6116619.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Pseudoxanthomonas sp.],53.9,53.9,96%,5e-05,24.31,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_298315217.1?report=genbank&log$=prottop&blast_rank=94&RID=AVF030C7015"",""WP_298315217.1"")"
5 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas cannabis],53.9,53.9,56%,5e-05,36.36,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_166743755.1?report=genbank&log$=prottop&blast_rank=95&RID=AVF030C7015"",""WP_166743755.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis excentricus],53.9,53.9,93%,5e-05,27.88,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126424250.1?report=genbank&log$=prottop&blast_rank=96&RID=AVF030C7015"",""WP_126424250.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],53.9,53.9,86%,6e-05,28.40,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX3913133.1?report=genbank&log$=prottop&blast_rank=97&RID=AVF030C7015"",""HEX3913133.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein BDIM_15900 [Brevundimonas diminuta ATCC 11568],52.4,52.4,59%,6e-05,32.17,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGF94762.1?report=genbank&log$=prottop&blast_rank=98&RID=AVF030C7015"",""EGF94762.1"")"
5 member(s) 2 organism(s),purple photosynthetic bacteria and relatives,lasso peptide biosynthesis B2 protein [Sphingomonas ursincola],53.5,53.5,70%,6e-05,27.74,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181267677.1?report=genbank&log$=prottop&blast_rank=99&RID=AVF030C7015"",""WP_181267677.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis granuli],53.9,53.9,52%,6e-05,32.00,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_212596788.1?report=genbank&log$=prottop&blast_rank=100&RID=AVF030C7015"",""WP_212596788.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Silvibacterium sp.],52.0,52.0,35%,6e-05,40.00,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_415197133.1?report=genbank&log$=prottop&blast_rank=101&RID=AVF030C7015"",""WP_415197133.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium olei],53.5,53.5,60%,6e-05,33.33,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_380908891.1?report=genbank&log$=prottop&blast_rank=102&RID=AVF030C7015"",""WP_380908891.1"")"
13 member(s) 4 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas hortorum],53.9,53.9,56%,6e-05,34.86,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023905251.1?report=genbank&log$=prottop&blast_rank=103&RID=AVF030C7015"",""WP_023905251.1"")"
3 member(s) 2 organism(s),alpha-4 proteobacteria,lasso peptide biosynthesis B2 protein [Parasphingorhabdus sp.],53.5,53.5,57%,6e-05,30.91,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_417619445.1?report=genbank&log$=prottop&blast_rank=104&RID=AVF030C7015"",""WP_417619445.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadaceae bacterium],52.0,52.0,30%,7e-05,44.64,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HSY82833.1?report=genbank&log$=prottop&blast_rank=105&RID=AVF030C7015"",""HSY82833.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas euroxanthea],51.2,51.2,30%,7e-05,46.43,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XHH30144.1?report=genbank&log$=prottop&blast_rank=106&RID=AVF030C7015"",""XHH30144.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Polarisedimenticolia bacterium],52.0,52.0,33%,8e-05,40.32,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HYT20938.1?report=genbank&log$=prottop&blast_rank=107&RID=AVF030C7015"",""HYT20938.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],53.5,53.5,49%,8e-05,37.11,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HWG29419.1?report=genbank&log$=prottop&blast_rank=108&RID=AVF030C7015"",""HWG29419.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],51.6,51.6,38%,9e-05,31.96,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HSZ00426.1?report=genbank&log$=prottop&blast_rank=109&RID=AVF030C7015"",""HSZ00426.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. BS19],50.4,50.4,32%,9e-05,43.33,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_375713750.1?report=genbank&log$=prottop&blast_rank=110&RID=AVF030C7015"",""WP_375713750.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobia bacterium],51.6,51.6,51%,9e-05,33.00,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HYR41927.1?report=genbank&log$=prottop&blast_rank=111&RID=AVF030C7015"",""HYR41927.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Gammaproteobacteria bacterium],53.5,53.5,63%,9e-05,32.06,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEJ1961796.1?report=genbank&log$=prottop&blast_rank=112&RID=AVF030C7015"",""MEJ1961796.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas natans],53.1,53.1,94%,9e-05,27.09,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_303543462.1?report=genbank&log$=prottop&blast_rank=113&RID=AVF030C7015"",""WP_303543462.1"")"
2 member(s) 2 organism(s),alpha-4 proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp. BSNA05],53.1,53.1,59%,9e-05,30.09,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173204349.1?report=genbank&log$=prottop&blast_rank=114&RID=AVF030C7015"",""WP_173204349.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp. KK11],53.1,53.1,61%,9e-05,34.21,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_318159863.1?report=genbank&log$=prottop&blast_rank=115&RID=AVF030C7015"",""WP_318159863.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Aliidongia sp.],53.1,53.1,41%,9e-05,38.27,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEI9985565.1?report=genbank&log$=prottop&blast_rank=116&RID=AVF030C7015"",""MEI9985565.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium limneticum],52.8,52.8,30%,9e-05,44.64,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEO7469973.1?report=genbank&log$=prottop&blast_rank=117&RID=AVF030C7015"",""MEO7469973.1"")"
2 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas arboricola],53.1,53.1,56%,9e-05,30.56,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_258078593.1?report=genbank&log$=prottop&blast_rank=118&RID=AVF030C7015"",""WP_258078593.1"")"
1 member(s) 1 organism(s),bacteria,MAG: hypothetical protein AUI12_09805 [Acidobacteria bacterium 13_2_20CM_2_57_6],51.6,51.6,29%,1e-04,44.44,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OLB86103.1?report=genbank&log$=prottop&blast_rank=119&RID=AVF030C7015"",""OLB86103.1"")"
4 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],53.1,53.1,70%,1e-04,32.62,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063976350.1?report=genbank&log$=prottop&blast_rank=120&RID=AVF030C7015"",""WP_063976350.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. WGS1318],53.1,53.1,51%,1e-04,34.95,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_394003201.1?report=genbank&log$=prottop&blast_rank=121&RID=AVF030C7015"",""WP_394003201.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],52.8,52.8,63%,1e-04,32.52,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH8210344.1?report=genbank&log$=prottop&blast_rank=122&RID=AVF030C7015"",""MGH8210344.1"")"
1 member(s) 1 organism(s),firmicutes,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Bacillus cereus group],51.6,51.6,31%,1e-04,37.29,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_440048554.1?report=genbank&log$=prottop&blast_rank=123&RID=AVF030C7015"",""WP_440048554.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein ISF6_4476 [Piscinibacter sakaiensis],51.2,51.2,46%,1e-04,38.89,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAP34301.1?report=genbank&log$=prottop&blast_rank=124&RID=AVF030C7015"",""GAP34301.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Croceifilum oryzae],51.2,51.2,64%,1e-04,29.17,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_307251208.1?report=genbank&log$=prottop&blast_rank=125&RID=AVF030C7015"",""WP_307251208.1"")"
3 member(s) 3 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Blastomonas marina],52.8,52.8,61%,1e-04,31.09,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_407654897.1?report=genbank&log$=prottop&blast_rank=126&RID=AVF030C7015"",""WP_407654897.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Pseudoxanthomonas winnipegensis],53.1,53.1,86%,1e-04,27.64,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165421722.1?report=genbank&log$=prottop&blast_rank=127&RID=AVF030C7015"",""WP_165421722.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein [Bradyrhizobium sp.],52.8,52.8,61%,1e-04,31.30,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDB5576862.1?report=genbank&log$=prottop&blast_rank=128&RID=AVF030C7015"",""MDB5576862.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],51.2,51.2,28%,1e-04,45.28,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGA9307676.1?report=genbank&log$=prottop&blast_rank=129&RID=AVF030C7015"",""MGA9307676.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. 3794],52.8,52.8,30%,1e-04,46.43,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_310149741.1?report=genbank&log$=prottop&blast_rank=130&RID=AVF030C7015"",""WP_310149741.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium aquae],52.8,52.8,90%,1e-04,27.13,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_339967572.1?report=genbank&log$=prottop&blast_rank=131&RID=AVF030C7015"",""WP_339967572.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MAG: hypothetical protein CVT77_08680 [Alphaproteobacteria bacterium HGW-Alphaproteobacteria-16],52.8,52.8,91%,1e-04,27.27,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PKP92523.1?report=genbank&log$=prottop&blast_rank=132&RID=AVF030C7015"",""PKP92523.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Baia soyae],51.2,51.2,65%,1e-04,29.51,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_131849341.1?report=genbank&log$=prottop&blast_rank=133&RID=AVF030C7015"",""WP_131849341.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein CMZ84_14010 [Lysobacteraceae bacterium NML93-0399],52.8,52.8,43%,1e-04,34.57,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PBJ81800.1?report=genbank&log$=prottop&blast_rank=134&RID=AVF030C7015"",""PBJ81800.1"")"
2 member(s) 2 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Brevundimonas],52.8,52.8,59%,1e-04,32.17,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_040345549.1?report=genbank&log$=prottop&blast_rank=135&RID=AVF030C7015"",""WP_040345549.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas sp.],52.8,52.8,68%,1e-04,29.32,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_206234078.1?report=genbank&log$=prottop&blast_rank=136&RID=AVF030C7015"",""WP_206234078.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Caulobacter],52.8,52.8,64%,1e-04,30.58,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_116491616.1?report=genbank&log$=prottop&blast_rank=137&RID=AVF030C7015"",""WP_116491616.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],51.2,51.2,31%,1e-04,43.10,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGC2766626.1?report=genbank&log$=prottop&blast_rank=138&RID=AVF030C7015"",""MGC2766626.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],52.8,52.8,42%,1e-04,37.35,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY6927824.1?report=genbank&log$=prottop&blast_rank=139&RID=AVF030C7015"",""HEY6927824.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Cognatiluteimonas lumbrici],52.8,52.8,83%,2e-04,28.72,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_140909463.1?report=genbank&log$=prottop&blast_rank=140&RID=AVF030C7015"",""WP_140909463.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Woeseiaceae bacterium],52.8,52.8,84%,2e-04,25.16,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HLT91482.1?report=genbank&log$=prottop&blast_rank=141&RID=AVF030C7015"",""HLT91482.1"")"
2 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],50.4,50.4,33%,2e-04,40.32,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFY9801574.1?report=genbank&log$=prottop&blast_rank=142&RID=AVF030C7015"",""MFY9801574.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp. R3-92],52.0,52.0,43%,2e-04,36.90,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_438324629.1?report=genbank&log$=prottop&blast_rank=143&RID=AVF030C7015"",""WP_438324629.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas canadensis],50.8,50.8,68%,2e-04,30.00,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_380916521.1?report=genbank&log$=prottop&blast_rank=144&RID=AVF030C7015"",""WP_380916521.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Frateuria sp.],52.4,52.4,30%,2e-04,46.43,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_327474150.1?report=genbank&log$=prottop&blast_rank=145&RID=AVF030C7015"",""WP_327474150.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],52.4,52.4,32%,2e-04,43.33,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY0340198.1?report=genbank&log$=prottop&blast_rank=146&RID=AVF030C7015"",""HEY0340198.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomicrobium sp.],52.4,52.4,90%,2e-04,30.29,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HWJ38163.1?report=genbank&log$=prottop&blast_rank=147&RID=AVF030C7015"",""HWJ38163.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],52.4,52.4,65%,2e-04,29.37,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HSZ10446.1?report=genbank&log$=prottop&blast_rank=148&RID=AVF030C7015"",""HSZ10446.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. MP9-4],50.4,50.4,63%,2e-04,29.66,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276609729.1?report=genbank&log$=prottop&blast_rank=149&RID=AVF030C7015"",""WP_276609729.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],50.4,50.4,31%,2e-04,41.38,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYU52318.1?report=genbank&log$=prottop&blast_rank=150&RID=AVF030C7015"",""PYU52318.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],50.4,50.4,31%,2e-04,41.38,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYT92595.1?report=genbank&log$=prottop&blast_rank=151&RID=AVF030C7015"",""PYT92595.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp.],52.0,52.0,30%,2e-04,50.00,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEO9216657.1?report=genbank&log$=prottop&blast_rank=152&RID=AVF030C7015"",""MEO9216657.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Rhizobacter sp.],52.4,52.4,30%,2e-04,45.61,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX3628264.1?report=genbank&log$=prottop&blast_rank=153&RID=AVF030C7015"",""MBX3628264.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],52.4,52.4,57%,2e-04,32.74,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX4676106.1?report=genbank&log$=prottop&blast_rank=154&RID=AVF030C7015"",""HEX4676106.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. YR768],50.4,50.4,57%,2e-04,29.63,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093016193.1?report=genbank&log$=prottop&blast_rank=155&RID=AVF030C7015"",""WP_093016193.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],50.4,50.4,32%,2e-04,40.00,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB6308788.1?report=genbank&log$=prottop&blast_rank=156&RID=AVF030C7015"",""MGB6308788.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. JM171],52.0,52.0,30%,2e-04,48.21,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095209138.1?report=genbank&log$=prottop&blast_rank=157&RID=AVF030C7015"",""WP_095209138.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas soli],52.0,52.0,57%,2e-04,31.58,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_386743742.1?report=genbank&log$=prottop&blast_rank=158&RID=AVF030C7015"",""WP_386743742.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. PP-CE-1G-424],51.6,51.6,84%,2e-04,31.33,190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165899708.1?report=genbank&log$=prottop&blast_rank=159&RID=AVF030C7015"",""WP_165899708.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Rhodanobacter],52.0,52.0,53%,2e-04,32.14,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_027490006.1?report=genbank&log$=prottop&blast_rank=160&RID=AVF030C7015"",""WP_027490006.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],51.2,51.2,41%,3e-04,37.18,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEM1177293.1?report=genbank&log$=prottop&blast_rank=161&RID=AVF030C7015"",""MEM1177293.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],50.4,50.4,29%,3e-04,44.44,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYX50210.1?report=genbank&log$=prottop&blast_rank=162&RID=AVF030C7015"",""PYX50210.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],50.1,50.1,33%,3e-04,40.32,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGD0165642.1?report=genbank&log$=prottop&blast_rank=163&RID=AVF030C7015"",""MGD0165642.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobium sp.],50.4,50.4,39%,3e-04,39.19,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_325310625.1?report=genbank&log$=prottop&blast_rank=164&RID=AVF030C7015"",""WP_325310625.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],50.1,50.1,57%,3e-04,28.70,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB8062255.1?report=genbank&log$=prottop&blast_rank=165&RID=AVF030C7015"",""MGB8062255.1"")"
1 member(s) 1 organism(s),a-proteobacteria,transglutaminase superfamily protein [Sphingomonas sp. PP-CE-1G-424],51.6,51.6,84%,3e-04,31.33,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TCP65468.1?report=genbank&log$=prottop&blast_rank=166&RID=AVF030C7015"",""TCP65468.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Piscinibacter sakaiensis],52.0,52.0,44%,3e-04,37.35,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_418319630.1?report=genbank&log$=prottop&blast_rank=167&RID=AVF030C7015"",""WP_418319630.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Proluteimonas flavola],51.6,51.6,59%,3e-04,30.97,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD9008115.1?report=genbank&log$=prottop&blast_rank=168&RID=AVF030C7015"",""MCD9008115.1"")"
